"","ESV_COI_1","ESV_COI_2","ESV_COI_5","ESV_COI_7","ESV_COI_8","ESV_COI_9","ESV_COI_10","ESV_COI_11","ESV_COI_12","ESV_COI_14","ESV_COI_15","ESV_COI_16","ESV_COI_17","ESV_COI_19","ESV_COI_20","ESV_COI_21","ESV_COI_25","ESV_COI_26","ESV_COI_28","ESV_COI_29","ESV_COI_31","ESV_COI_33","ESV_COI_40","ESV_COI_46","ESV_COI_52","ESV_COI_53","ESV_COI_55","ESV_COI_56","ESV_COI_58","ESV_COI_59","ESV_COI_62","ESV_COI_63","ESV_COI_64","ESV_COI_67","ESV_COI_68","ESV_COI_69","ESV_COI_70","ESV_COI_71","ESV_COI_72","ESV_COI_74","ESV_COI_75","ESV_COI_76","ESV_COI_83","ESV_COI_85","ESV_COI_92","ESV_COI_97","ESV_COI_98","ESV_COI_99","ESV_COI_101","ESV_COI_105","ESV_COI_106","ESV_COI_112","ESV_COI_113","ESV_COI_118","ESV_COI_121","ESV_COI_123","ESV_COI_124","ESV_COI_125","ESV_COI_127","ESV_COI_132","ESV_COI_135","ESV_COI_137","ESV_COI_139","ESV_COI_140","ESV_COI_141","ESV_COI_142","ESV_COI_145","ESV_COI_150","ESV_COI_155","ESV_COI_163","ESV_COI_169","ESV_COI_172","ESV_COI_174","ESV_COI_177","ESV_COI_178","ESV_COI_179","ESV_COI_181","ESV_COI_185","ESV_COI_186","ESV_COI_192","ESV_COI_194","ESV_COI_196","ESV_COI_204","ESV_COI_212","ESV_COI_223","ESV_COI_224","ESV_COI_236","ESV_COI_238","ESV_COI_239","ESV_COI_240","ESV_COI_241","ESV_COI_242","ESV_COI_247","ESV_COI_257","ESV_COI_262","ESV_COI_265","ESV_COI_269","ESV_COI_273","ESV_COI_275","ESV_COI_276","ESV_COI_277","ESV_COI_278","ESV_COI_293","ESV_COI_294","ESV_COI_297","ESV_COI_298","ESV_COI_309","ESV_COI_321","ESV_COI_323","ESV_COI_348","ESV_COI_349","ESV_COI_357","ESV_COI_366","ESV_COI_368","ESV_COI_369","ESV_COI_384","ESV_COI_385","ESV_COI_402","ESV_COI_424","ESV_COI_429","ESV_COI_433","ESV_COI_440","ESV_COI_444","ESV_COI_446","ESV_COI_498","ESV_COI_511","ESV_COI_517","ESV_COI_521","ESV_COI_530","ESV_COI_531","ESV_COI_545","ESV_COI_563","ESV_COI_577","ESV_COI_578","ESV_COI_581","ESV_COI_587","ESV_COI_601","ESV_COI_606","ESV_COI_618","ESV_COI_635","ESV_COI_636","ESV_COI_653","ESV_COI_698","ESV_COI_703","ESV_COI_716","ESV_COI_727","ESV_COI_728","ESV_COI_769","ESV_COI_793","ESV_COI_824","ESV_COI_825","ESV_COI_826","ESV_COI_844","ESV_COI_889","ESV_COI_890","ESV_COI_891","ESV_COI_899","ESV_COI_959","ESV_COI_960","ESV_COI_961","ESV_COI_962","ESV_COI_963","ESV_COI_964","ESV_COI_1023","ESV_COI_1024","ESV_COI_1025","ESV_COI_1026","ESV_COI_1027","ESV_COI_1028","ESV_COI_1029","ESV_COI_1030","ESV_COI_1070","ESV_COI_1071","ESV_COI_1072","ESV_COI_1073","ESV_COI_1074","ESV_COI_1075"
"PPO20_207",701,61,43,0,131,44,22,35,0,11,21,0,47,0,37,0,0,0,0,30,27,14,5,35,0,14,0,0,0,11,0,0,0,28,13,0,0,0,0,0,0,4,0,0,17,7,0,0,0,0,32,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_209",511,55,37,18,50,32,28,0,8,0,0,0,49,0,28,0,12,0,0,13,29,0,0,36,9,13,7,0,0,10,0,0,6,39,5,4,0,0,22,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_210",275,0,0,0,14,12,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_211",427,49,38,0,54,23,28,32,0,6,7,0,51,0,47,36,17,6,0,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,6,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,26,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_212",553,31,34,0,36,21,29,37,0,11,9,11,21,0,0,19,0,0,0,14,16,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_213",429,21,36,0,20,16,23,27,0,11,0,0,16,0,15,24,0,0,0,13,17,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"PPO20_214",686,48,64,0,65,52,33,42,0,16,0,0,43,7,28,52,11,6,0,12,28,0,0,0,25,0,7,0,26,4,0,0,0,0,9,0,0,12,0,9,0,7,0,0,20,0,9,0,0,0,0,0,10,0,12,3,0,0,0,0,0,0,0,12,0,5,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_215",903,18,35,0,116,45,13,46,0,16,0,0,0,0,9,38,15,0,23,26,9,17,0,46,0,0,0,0,0,0,0,0,0,0,13,0,0,0,16,4,0,6,0,0,5,0,0,0,0,14,21,0,4,0,30,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,23,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_216",465,55,45,0,52,48,26,38,16,18,18,0,58,0,36,46,13,0,0,15,25,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,22,0,0,0,0,0,0,0,0,11,43,0,5,0,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_217",523,31,34,0,71,32,25,46,0,23,12,0,26,0,0,25,25,0,0,14,23,22,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,46,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,6,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_218",303,14,30,0,0,17,12,0,0,6,0,0,0,0,11,20,0,0,0,9,17,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_219",586,50,42,0,72,36,36,42,0,8,0,0,29,0,28,49,18,0,0,25,28,27,0,34,0,0,0,0,0,5,0,0,0,0,15,0,7,0,0,8,0,5,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"PPO20_220",500,25,54,0,73,28,26,52,0,8,0,0,0,6,14,47,0,0,0,0,0,28,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,11,6,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_221",738,56,51,0,94,31,45,69,0,11,16,0,54,0,33,40,30,6,0,24,23,0,0,0,0,0,9,0,30,7,0,0,0,0,18,0,0,0,0,4,0,8,0,0,15,6,0,0,59,13,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,5,0,4,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_222",653,30,67,0,70,50,54,85,0,16,9,25,39,0,17,62,28,0,0,20,26,15,9,0,0,0,9,0,45,0,0,0,14,0,8,0,7,0,0,11,0,14,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"PPO20_223",325,16,28,0,24,21,18,15,0,0,0,9,0,6,0,0,0,0,11,18,16,0,0,18,0,0,0,0,0,0,0,0,0,32,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PPO20_224",442,21,46,0,28,20,21,0,0,22,0,0,19,8,19,0,15,0,0,13,17,0,0,34,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,6,0,0,6,6,0,0,11,11,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"PPO20_225",763,42,61,0,95,38,43,86,0,18,0,0,31,9,16,63,16,6,16,29,49,10,0,52,0,0,0,0,0,9,0,0,0,0,6,0,9,0,0,10,0,6,0,0,0,11,0,0,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"PPO20_226",378,16,41,0,41,24,26,24,0,0,10,0,14,0,17,0,0,0,14,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
