"","Df","Variance","F","Pr..F.","R2","adj.R2","model","factor","season","locus"
"Residual24",74,75.4880448096073,NA,NA,NA,NA,"~ biorep + Transect","Residual","Summer","MiFishU"
"biorep7",2,1.85072392592799,0.729806343716566,0.88,0.0058462299994331,-0.0178886144000721,"~ biorep + Station","biorep","Spring","MiFishU"
"Station6",24,41.3805534009127,1.35981880546849,0.002,0.640335565985427,0.445716753400649,"~ biorep + Station","Station","Spring","MiFishU"
"Residual7",41,51.9861752479619,NA,NA,NA,NA,"~ biorep + Station","Residual","Spring","MiFishU"
"biorep15",2,1.85072392592802,0.729806343716578,0.87,0.00584622999943307,-0.0178886144000722,"~ biorep + Station + Condition(Transect)","biorep","Spring","MiFishU"
"Station15",18,25.1504846690237,1.10197018353815,0.176,0.21602382961539,0.0682275613855097,"~ biorep + Station + Condition(Transect)","Station","Spring","MiFishU"
"Residual15",41,51.9861752479619,NA,NA,NA,NA,"~ biorep + Station + Condition(Transect)","Residual","Spring","MiFishU"
"biorep25",2,1.80459820101545,0.690147162027084,0.906,0.0040493528480219,-0.0168205952642405,"~ biorep + Transect","biorep","Spring","MiFishU"
"Transect5",6,16.2300687318892,2.06899904708519,0.001,0.424311736370036,0.377489192015139,"~ biorep + Transect","Transect","Spring","MiFishU"
"Residual25",59,77.1366599169855,NA,NA,NA,NA,"~ biorep + Transect","Residual","Spring","MiFishU"
"biorep8",2,355.644680396143,0.982963260862927,0.499,0.0831939133450105,0.0379466686168717,"~ biorep + Station","biorep","Fall","16Schord"
"Station7",11,2286.70785416968,1.14912947100705,0.03,0.318800499350542,0.00256902382611601,"~ biorep + Station","Station","Fall","16Schord"
"Residual8",21,3798.99157256523,NA,NA,NA,NA,"~ biorep + Station","Residual","Fall","16Schord"
"biorep16",2,355.64468039614,0.982963260862918,0.509,0.0831939133450106,0.0379466686168718,"~ biorep + Station + Condition(Transect)","biorep","Fall","16Schord"
"Station16",9,1876.54183097527,1.15256839136718,0.042,0.255316499763525,-0.00401425159935198,"~ biorep + Station + Condition(Transect)","Station","Fall","16Schord"
"Residual16",21,3798.99157256523,NA,NA,NA,NA,"~ biorep + Station + Condition(Transect)","Residual","Fall","16Schord"
"biorep26",2,353.777218180174,0.93500608584071,0.614,0.079232800346644,0.0233163762325714,"~ biorep + Transect","biorep","Fall","16Schord"
"Transect6",2,410.166023194404,1.08403737771643,0.25,0.0634839995870168,0.00658327542546755,"~ biorep + Transect","Transect","Fall","16Schord"
"Residual26",30,5675.5334035405,NA,NA,NA,NA,"~ biorep + Transect","Residual","Fall","16Schord"
"biorep9",2,157.682395990128,1.01913348719569,0.33,0.0150719172458349,-0.00361344495460569,"~ biorep + Station + Condition(nreads)","biorep","Summer","16Schord"
"Station8",27,2552.15451807962,1.22185890400973,0.001,0.49407821376258,0.270087441151374,"~ biorep + Station + Condition(nreads)","Station","Summer","16Schord"
"Residual9",47,3635.96756688313,NA,NA,NA,NA,"~ biorep + Station + Condition(nreads)","Residual","Summer","16Schord"
"biorep17",2,157.682395990129,1.01913348719569,0.378,0.0150719172458349,-0.00361344495460569,"~ biorep + Station + Condition(Transect + nreads)","biorep","Summer","16Schord"
"Station17",21,1760.43609442439,1.08362452838921,0.001,0.267658119680763,0.0965428337208319,"~ biorep + Station + Condition(Transect + nreads)","Station","Summer","16Schord"
"Residual17",47,3635.96756688314,NA,NA,NA,NA,"~ biorep + Station + Condition(Transect + nreads)","Residual","Summer","16Schord"
"biorep27",2,156.704369038956,0.987314678760259,0.534,0.0132856764060672,-0.00725264306970663,"~ biorep + Transect + Condition(nreads)","biorep","Summer","16Schord"
"Transect7",6,791.718423655237,1.66273862456982,0.001,0.226420094081817,0.173544607430541,"~ biorep + Transect + Condition(nreads)","Transect","Summer","16Schord"
"Residual27",68,5396.40366130752,NA,NA,NA,NA,"~ biorep + Transect + Condition(nreads)","Residual","Summer","16Schord"
"biorep10",2,176.299639564229,1.04374397457292,0.297,0.00484812133242759,-0.0191459170451711,"~ biorep + Station","biorep","Spring","16Schord"
"Station9",24,3049.71758803016,1.50459957666555,0.001,0.673047075974536,0.486477669312642,"~ biorep + Station","Station","Spring","16Schord"
"Residual10",38,3209.30537883199,NA,NA,NA,NA,"~ biorep + Station","Residual","Spring","16Schord"
"biorep18",2,176.299639564222,1.04374397457288,0.264,0.00484812133242758,-0.0191459170451712,"~ biorep + Station + Condition(Transect)","biorep","Spring","16Schord"
"Station18",18,1847.41935296665,1.21524973866744,0.001,0.260999684063337,0.12533806707703,"~ biorep + Station + Condition(Transect)","Station","Spring","16Schord"
"Residual18",38,3209.30537883199,NA,NA,NA,NA,"~ biorep + Station + Condition(Transect)","Residual","Spring","16Schord"
"biorep28",2,175.073495097309,0.969413626946829,0.557,0.00281918280936522,-0.019764911748912,"~ biorep + Transect","biorep","Spring","16Schord"
"Transect8",6,1202.2982350635,2.21911430601733,0.001,0.412047391911199,0.361139602235611,"~ biorep + Transect","Transect","Spring","16Schord"
"Residual28",56,5056.72473179865,NA,NA,NA,NA,"~ biorep + Transect","Residual","Spring","16Schord"
